comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
1,"Ziemlich traurig diese Kommentare zu lesen. Ihr könnt euch zwar belügen, dass es den vom Menschen gemachten Klimawandel nicht gibt, nur kann man die Natur nicht belügen. Wie viele Menschen müssen denn noch auf Grund des Klimawandels ihre Lebensgrundlage verlieren oder gar Sterben, bis ihr den ernst der Lage erkannt habt?",0,0,0
2,"Sag ich doch, wir befeuern den Klimawandel. Raucher können ihr Lebensende meiner Meinung nach auch gerne befeuern, nur hab ich daran kein Interesse.",0,1,1
3,"Schublade auf, Schublade zu. Zu mehr Denkleistung reicht es wohl bei dir nicht.",1,0,0
4,Dummerweise haben wir in der EU und in der USA einen viel höheren CO2 Fußabdruck als z.B. die Afrikaner oder Inder.,0,0,1
5,"""So lange Gewinnmaximierung Vorrang hat, wird sich das nur schleppend ändern"" Da gebe ich dir recht.",0,0,0
6,@USER Schon mal was von Physik gehört?,1,0,0
7,"Sollte es dann doch einen Klimawandel geben, der unabhängig vom Menschen stattfindet? Lernt er nichts von periodischen Klimaveränderungen?",0,0,0
8,@USER geh wieder pennen...dein Gesülze interessiert mich nicht,1,0,0
9,"Wenn ich einen Konjunktiv verwende hat das einen Grund liebe hysterischen Klimafachleute,die ihr hier ja alle wohl seid.Lauter srudierte Experten,die es ganz genau wissen. Weil sie es gelesen haben😁",1,0,0
10,Nach mir die Sintflut ☺,1,0,0
11,@USER Ja o.k aber nicht mit so Schwachsinnigen Darstellungen. Alles weg Atomenergie Autoindustrie Landwirtschaft Lebensmittelindustrie usw wovon sollen sie Menschen Leben ? Wens nach den Grünen geht wieder zurück in die Steinzeit. Rom wurde auch nicht an einen Tag erbaut,0,1,1
12,@USER Staatsfernsehen ! !,1,0,0
13,@USER Oh weh das möchten wir uns garnicht vorstellen.,1,0,0
